11-300,FUP,Biskupiec,Biskupiec,Ludowa,48
11-311,FUP,Biskupiec,Kolno,,25
11-230,UP,Bisztynek,Bisztynek,pl. Wolności,2
42-290,UP,Blachownia 1,Blachownia,Stefana Żeromskiego,8
42-284,FUP,Blachownia 1,Herby,Lubliniecka,33
42-274,FUP,Blachownia 1,Konopiska,Lipowa,3
09-452,AP,Blichowo,Blichowo,,61 B
48-141,AP,Bliszczyce,Bliszczyce,,117
62-814,UP,Blizanów,Blizanów Drugi,,31
98-235,UP,Błaszki,Błaszki,Sieradzka,57
23-320,AP,Błażek,Błażek,,207
36-030,UP,Błażowa Rzeszowska,Błażowa,3 Maja,9
86-100,AP,Błądzim,Błądzim,Główna,12
87-866,AP,Błenna,Błenna,,9
05-620,UP,Błędów,Błędów,Nowy Rynek,13
05-870,UP,Błonie,Błonie,Targowa,3 A
05-872,FUP,Błonie,Błonie,Nowakowskiego,2/4
05-085,FUP,Błonie,Kampinos,Fryderyka Chopina,1
05-084,FUP,Błonie,Leszno,Błońska,20
72-200,AP,Błotno,Błotno,,1
76-020,UP,Bobolice,Bobolice,Pocztowa,9
76-020,AP,Bobolice,Bobolice,Plac Zwycięstwa,22
38-350,UP,Bobowa,Bobowa,Pocztowa,2
38-325,FUP,Bobowa,Siedliska,,371
83-212,AP,Bobowo,Bobowo,Gdańska,71
08-500,AP,Bobrowniki,Bobrowniki,Krasnoglińska,8
42-583,UP,Bobrowniki k. Będzina,Bobrowniki,Sienkiewicza,121 B
87-617,UP,Bobrowniki n. Wisłą,Bobrowniki,Senatorska,8
19-336,AP,Bobry,Bobry,,20
28-367,AP,Bocheniec,Bocheniec,,48 A
32-700,UP,Bochnia,Bochnia,Kazimierza Wielkiego,34
32-703,FUP,Bochnia,Bochnia,Legionów Polskich,13/I
32-701,FUP,Bochnia,Bochnia,Proszowska,69
32-709,FUP,Bochnia,Drwinia,,57
32-708,FUP,Bochnia,Dziewin,,292
32-765,FUP,Bochnia,Rzezawa,Kościelna,8
32-705,AP,Bochnia,Bochnia,św. Jana,14/4
32-706,AP,Bochnia,Bochnia,Księcia Józefa Poniatowskiego,22/A
22-461,AP,Bodaczów,Bodaczów,ZOR,1
09-470,UP,Bodzanów,Bodzanów,Elizy Orzeszkowej,25
09-454,FUP,Bodzanów,Bulkowo,Szkolna,1
26-010,UP,Bodzentyn,Bodzentyn,Suchedniowska,1
26-010,AP,Bodzentyn,Bodzentyn,Langiewicza,20
06-300,AP,Bogate,Bogate,,66
59-920,AP,Bogatynia,Bogatynia,Jana Matejki,11
59-920,UP,Bogatynia 1,Bogatynia,Pocztowa,1
59-916,FUP,Bogatynia 1,Bogatynia,Parkowa,2
