Kod;Województwo;Powiat;Gmina;
70-001;zachodniopomorskie;Szczecin;Szczecin;całe miasto jako 1 kształt
70-815;zachodniopomorskie;goleniowski;Goleniów;
70-895;zachodniopomorskie;goleniowski;Goleniów;
72-001;zachodniopomorskie;policki;Kołbaskowo;
72-002;zachodniopomorskie;policki;Dobra (Szczecińska);
72-003;zachodniopomorskie;policki;Dobra (Szczecińska);
72-004;zachodniopomorskie;policki;Police;
72-005;zachodniopomorskie;policki;Kołbaskowo;
72-006;zachodniopomorskie;policki;Dobra (Szczecińska);
72-010;zachodniopomorskie;policki;Police;
72-015;zachodniopomorskie;policki;Police;
72-020;zachodniopomorskie;policki;Police;
72-022;zachodniopomorskie;policki;Nowe Warpno;
72-100;zachodniopomorskie;goleniowski;Goleniów;
72-105;zachodniopomorskie;goleniowski;Goleniów;
72-110;zachodniopomorskie;goleniowski;Przybiernów;
72-111;zachodniopomorskie;goleniowski;Stepnica;
72-112;zachodniopomorskie;goleniowski;Stepnica;
72-113;zachodniopomorskie;goleniowski;Goleniów;
72-121;zachodniopomorskie;goleniowski;Przybiernów;
72-122;zachodniopomorskie;goleniowski;Przybiernów;
72-123;zachodniopomorskie;goleniowski;Goleniów;
72-130;zachodniopomorskie;goleniowski;Maszewo;
72-131;zachodniopomorskie;goleniowski;Goleniów;
72-132;zachodniopomorskie;goleniowski;Goleniów;
72-200;zachodniopomorskie;goleniowski;Nowogard;
72-204;zachodniopomorskie;goleniowski;Nowogard;
72-205;zachodniopomorskie;goleniowski;Nowogard;
72-207;zachodniopomorskie;goleniowski;Nowogard;
72-209;zachodniopomorskie;goleniowski;Nowogard;
72-210;zachodniopomorskie;łobeski;Dobra;
72-211;zachodniopomorskie;łobeski;Dobra;
72-212;zachodniopomorskie;goleniowski;Maszewo;
72-220;zachodniopomorskie;goleniowski;Nowogard;
72-221;zachodniopomorskie;goleniowski;Osina;
72-300;zachodniopomorskie;gryficki;Gryfice;
72-304;zachodniopomorskie;gryficki;Brojce;
72-306;zachodniopomorskie;gryficki;Gryfice;
72-307;zachodniopomorskie;gryficki;Gryfice;
72-310;zachodniopomorskie;gryficki;Płoty;
72-311;zachodniopomorskie;gryficki;Płoty;
72-313;zachodniopomorskie;gryficki;Gryfice;
72-314;zachodniopomorskie;łobeski;Radowo Małe;
72-315;zachodniopomorskie;łobeski;Resko;
72-316;zachodniopomorskie;łobeski;Radowo Małe;
72-317;zachodniopomorskie;łobeski;Resko;
72-320;zachodniopomorskie;gryficki;Trzebiatów;
72-330;zachodniopomorskie;gryficki;Trzebiatów;
72-332;zachodniopomorskie;gryficki;Trzebiatów;
72-341;zachodniopomorskie;gryficki;Gryfice;
72-342;zachodniopomorskie;gryficki;Karnice;
72-343;zachodniopomorskie;gryficki;Karnice;
72-344;zachodniopomorskie;gryficki;Rewal;
72-346;zachodniopomorskie;gryficki;Rewal;
72-350;zachodniopomorskie;gryficki;Trzebiatów;
72-400;zachodniopomorskie;kamieński;Kamień Pomorski;
72-405;zachodniopomorskie;kamieński;Świerzno;
72-410;zachodniopomorskie;kamieński;Golczewo;
72-415;zachodniopomorskie;kamieński;Dziwnów;
72-420;zachodniopomorskie;kamieński;Dziwnów;
72-500;zachodniopomorskie;kamieński;Międzyzdroje;
72-510;zachodniopomorskie;kamieński;Wolin;
72-511;zachodniopomorskie;kamieński;Wolin;
72-513;zachodniopomorskie;kamieński;Wolin;
72-514;zachodniopomorskie;kamieński;Wolin;
72-518;zachodniopomorskie;kamieński;Wolin;
72-600;zachodniopomorskie;Świnoujście;Świnoujście;
72-602;zachodniopomorskie;Świnoujście;Świnoujście;
72-603;zachodniopomorskie;Świnoujście;Świnoujście;
72-605;zachodniopomorskie;Świnoujście;Świnoujście;
73-102;zachodniopomorskie;stargardzki;Stargard;
73-108;zachodniopomorskie;stargardzki;Kobylanka;
73-109;zachodniopomorskie;stargardzki;Stargard;
73-110;zachodniopomorskie;stargardzki;Stargard;
73-112;zachodniopomorskie;stargardzki;Stara Dąbrowa;
73-113;zachodniopomorskie;stargardzki;Stara Dąbrowa;
73-115;zachodniopomorskie;stargardzki;Dolice;
73-116;zachodniopomorskie;stargardzki;Dolice;
73-120;zachodniopomorskie;stargardzki;Chociwel;
73-121;zachodniopomorskie;stargardzki;Marianowo;
73-130;zachodniopomorskie;stargardzki;Dobrzany;
73-131;zachodniopomorskie;stargardzki;Stargard;
73-132;zachodniopomorskie;stargardzki;Suchań;
73-134;zachodniopomorskie;stargardzki;Stargard;
73-140;zachodniopomorskie;stargardzki;Ińsko;
73-150;zachodniopomorskie;łobeski;Łobez;
73-151;zachodniopomorskie;łobeski;Węgorzyno;
73-152;zachodniopomorskie;łobeski;Węgorzyno;
73-153;zachodniopomorskie;łobeski;Łobez;
73-154;zachodniopomorskie;łobeski;Łobez;
73-155;zachodniopomorskie;łobeski;Węgorzyno;
73-200;zachodniopomorskie;choszczeński;Choszczno;
73-210;zachodniopomorskie;choszczeński;Recz;
73-220;zachodniopomorskie;choszczeński;Drawno;
73-222;zachodniopomorskie;choszczeński;Choszczno;
73-231;zachodniopomorskie;choszczeński;Krzęcin;
73-234;zachodniopomorskie;choszczeński;Bierzwnik;
73-236;zachodniopomorskie;choszczeński;Pełczyce;
73-240;zachodniopomorskie;choszczeński;Bierzwnik;
73-260;zachodniopomorskie;choszczeński;Pełczyce;
73-261;zachodniopomorskie;choszczeński;Pełczyce;
74-100;zachodniopomorskie;gryfiński;Gryfino;
74-105;zachodniopomorskie;gryfiński;Gryfino;
74-106;zachodniopomorskie;gryfiński;Stare Czarnowo;
74-107;zachodniopomorskie;gryfiński;Gryfino;
74-110;zachodniopomorskie;gryfiński;Banie;
74-111;zachodniopomorskie;gryfiński;Banie;
74-120;zachodniopomorskie;gryfiński;Widuchowa;
74-121;zachodniopomorskie;gryfiński;Widuchowa;
74-200;zachodniopomorskie;pyrzycki;Pyrzyce;
74-201;zachodniopomorskie;pyrzycki;Warnice;
74-202;zachodniopomorskie;pyrzycki;Bielice;
74-204;zachodniopomorskie;pyrzycki;Kozielice;
74-205;zachodniopomorskie;pyrzycki;Kozielice;
74-210;zachodniopomorskie;pyrzycki;Przelewice;
74-211;zachodniopomorskie;pyrzycki;Pyrzyce;
74-230;zachodniopomorskie;pyrzycki;Lipiany;
74-240;zachodniopomorskie;pyrzycki;Lipiany;
74-300;zachodniopomorskie;myśliborski;Myślibórz;
74-304;zachodniopomorskie;myśliborski;Nowogródek Pomorski;
74-305;zachodniopomorskie;myśliborski;Nowogródek Pomorski;
74-311;zachodniopomorskie;myśliborski;Dębno;
74-312;zachodniopomorskie;myśliborski;Myślibórz;
74-320;zachodniopomorskie;myśliborski;Barlinek;
74-322;zachodniopomorskie;myśliborski;Barlinek;
74-400;zachodniopomorskie;myśliborski;Dębno;
74-404;zachodniopomorskie;myśliborski;Dębno;
74-405;zachodniopomorskie;myśliborski;Dębno;
74-406;zachodniopomorskie;myśliborski;Boleszkowice;
74-407;zachodniopomorskie;myśliborski;Boleszkowice;
74-500;zachodniopomorskie;gryfiński;Chojna;
74-503;zachodniopomorskie;gryfiński;Moryń;
74-505;zachodniopomorskie;gryfiński;Mieszkowice;
74-506;zachodniopomorskie;gryfiński;Chojna;
74-510;zachodniopomorskie;gryfiński;Trzcińsko-Zdrój;
75-001;zachodniopomorskie;Koszalin;Koszalin;całe miasto jako 1 kształt
75-202;zachodniopomorskie;koszaliński;Będzino;
75-640;zachodniopomorskie;koszaliński;Sianów;
75-900;zachodniopomorskie;koszaliński;Manowo;
76-002;zachodniopomorskie;koszaliński;Mielno;
76-003;zachodniopomorskie;koszaliński;Sianów;
76-004;zachodniopomorskie;koszaliński;Sianów;
76-006;zachodniopomorskie;koszaliński;Polanów;
76-009;zachodniopomorskie;koszaliński;Manowo;
76-010;zachodniopomorskie;koszaliński;Polanów;
76-012;zachodniopomorskie;koszaliński;Polanów;
76-015;zachodniopomorskie;koszaliński;Manowo;
76-020;zachodniopomorskie;koszaliński;Bobolice;
76-021;zachodniopomorskie;koszaliński;Bobolice;
76-022;zachodniopomorskie;koszaliński;Świeszyno;
76-023;zachodniopomorskie;koszaliński;Świeszyno;
76-024;zachodniopomorskie;koszaliński;Świeszyno;
76-031;zachodniopomorskie;koszaliński;Będzino;
76-032;zachodniopomorskie;koszaliński;Mielno;
76-034;zachodniopomorskie;koszaliński;Mielno;
76-035;zachodniopomorskie;koszaliński;Będzino;
76-037;zachodniopomorskie;koszaliński;Będzino;
76-038;zachodniopomorskie;koszaliński;Będzino;
76-039;zachodniopomorskie;koszaliński;Biesiekierz;
76-042;zachodniopomorskie;koszaliński;Manowo;
76-066;zachodniopomorskie;koszaliński;Polanów;
76-100;zachodniopomorskie;sławieński;Sławno;
76-104;zachodniopomorskie;sławieński;Darłowo;
76-106;zachodniopomorskie;sławieński;Postomino;
76-107;zachodniopomorskie;sławieński;Postomino;
76-113;zachodniopomorskie;sławieński;Postomino;
76-122;zachodniopomorskie;sławieński;Sławno;
76-123;zachodniopomorskie;sławieński;Sławno;
76-124;zachodniopomorskie;sławieński;Sławno;
76-125;zachodniopomorskie;koszaliński;Polanów;
76-129;zachodniopomorskie;sławieński;Malechowo;
76-141;zachodniopomorskie;sławieński;Malechowo;
76-142;zachodniopomorskie;sławieński;Malechowo;
76-144;zachodniopomorskie;sławieński;Malechowo;
76-150;zachodniopomorskie;sławieński;Darłowo;
76-156;zachodniopomorskie;sławieński;Darłowo;
76-200;pomorskie;Słupsk;Słupsk;
76-211;pomorskie;słupski;Ustka;
76-212;pomorskie;słupski;Ustka;
76-213;pomorskie;słupski;Smołdzino;
76-214;pomorskie;słupski;Smołdzino;
76-219;pomorskie;słupski;Słupsk;
76-220;pomorskie;słupski;Główczyce;
76-230;pomorskie;słupski;Potęgowo;
76-231;pomorskie;słupski;Damnica;
76-245;pomorskie;Słupsk;Słupsk;
76-248;pomorskie;słupski;Dębnica Kaszubska;
76-251;pomorskie;słupski;Kobylnica;
76-270;pomorskie;słupski;Ustka;
77-100;pomorskie;bytowski;Bytów;
77-114;pomorskie;bytowski;Bytów;
77-115;pomorskie;bytowski;Czarna Dąbrówka;
77-116;pomorskie;bytowski;Czarna Dąbrówka;
77-121;pomorskie;bytowski;Bytów;
77-124;pomorskie;bytowski;Parchowo;
77-125;pomorskie;bytowski;Studzienice;
77-127;pomorskie;bytowski;Parchowo;
77-130;pomorskie;bytowski;Lipnica;
77-131;pomorskie;bytowski;Bytów;
77-132;pomorskie;bytowski;Bytów;
77-133;pomorskie;bytowski;Tuchomie;
77-134;pomorskie;bytowski;Tuchomie;
77-135;pomorskie;bytowski;Tuchomie;
77-138;pomorskie;bytowski;Lipnica;
77-139;pomorskie;bytowski;Lipnica;
77-140;pomorskie;bytowski;Kołczygłowy;
77-141;pomorskie;bytowski;Borzytuchom;
77-142;pomorskie;bytowski;Studzienice;
77-143;pomorskie;bytowski;Studzienice;
77-200;pomorskie;bytowski;Miastko;
77-203;pomorskie;bytowski;Trzebielino;
77-205;pomorskie;bytowski;Miastko;
77-207;pomorskie;bytowski;Miastko;
77-208;pomorskie;człuchowski;Koczała;
77-211;pomorskie;bytowski;Miastko;
77-220;pomorskie;człuchowski;Koczała;
77-222;pomorskie;bytowski;Miastko;
77-223;pomorskie;słupski;Kępice;
77-230;pomorskie;słupski;Kępice;
77-231;pomorskie;słupski;Kępice;
77-233;pomorskie;bytowski;Trzebielino;
77-235;pomorskie;bytowski;Trzebielino;
77-300;pomorskie;człuchowski;Człuchów;
77-304;pomorskie;człuchowski;Rzeczenica;
77-306;pomorskie;człuchowski;Rzeczenica;
77-310;pomorskie;człuchowski;Debrzno;
77-320;pomorskie;człuchowski;Przechlewo;
77-324;pomorskie;człuchowski;Czarne;
77-326;pomorskie;człuchowski;Czarne;
77-330;pomorskie;człuchowski;Czarne;
77-400;wielkopolskie;złotowski;Złotów;
77-404;wielkopolskie;złotowski;Złotów;
77-405;wielkopolskie;złotowski;Złotów;
77-411;wielkopolskie;złotowski;Zakrzewo;
77-413;wielkopolskie;złotowski;Zakrzewo;
77-414;wielkopolskie;złotowski;Złotów;
77-415;wielkopolskie;złotowski;Złotów;
77-416;wielkopolskie;złotowski;Tarnówka;
77-420;wielkopolskie;złotowski;Lipka;
77-424;wielkopolskie;złotowski;Zakrzewo;
77-430;wielkopolskie;złotowski;Krajenka;
78-100;zachodniopomorskie;kołobrzeski;Kołobrzeg;
78-111;zachodniopomorskie;kołobrzeski;Ustronie Morskie;
78-112;zachodniopomorskie;kołobrzeski;Kołobrzeg;
78-113;zachodniopomorskie;kołobrzeski;Dygowo;
78-114;zachodniopomorskie;kołobrzeski;Dygowo;
78-120;zachodniopomorskie;kołobrzeski;Gościno;
78-122;zachodniopomorskie;kołobrzeski;Kołobrzeg;
78-123;zachodniopomorskie;kołobrzeski;Siemyśl;
78-124;zachodniopomorskie;kołobrzeski;Rymań;
78-125;zachodniopomorskie;kołobrzeski;Rymań;
78-131;zachodniopomorskie;kołobrzeski;Kołobrzeg;
78-132;zachodniopomorskie;kołobrzeski;Kołobrzeg;
78-133;zachodniopomorskie;kołobrzeski;Kołobrzeg;
78-200;zachodniopomorskie;białogardzki;Białogard;
78-211;zachodniopomorskie;białogardzki;Białogard;
78-214;zachodniopomorskie;białogardzki;Tychowo;
78-217;zachodniopomorskie;białogardzki;Białogard;
78-220;zachodniopomorskie;białogardzki;Tychowo;
78-230;zachodniopomorskie;białogardzki;Karlino;
78-300;zachodniopomorskie;świdwiński;Świdwin;
78-311;zachodniopomorskie;świdwiński;Świdwin;
78-312;zachodniopomorskie;świdwiński;Świdwin;
78-314;zachodniopomorskie;świdwiński;Sławoborze;
78-316;zachodniopomorskie;świdwiński;Brzeżno;
78-320;zachodniopomorskie;świdwiński;Połczyn-Zdrój;
78-321;zachodniopomorskie;świdwiński;Połczyn-Zdrój;
78-324;zachodniopomorskie;świdwiński;Świdwin;
78-327;zachodniopomorskie;świdwiński;Połczyn-Zdrój;
78-331;zachodniopomorskie;świdwiński;Rąbino;
78-334;zachodniopomorskie;świdwiński;Rąbino;
78-400;zachodniopomorskie;szczecinecki;Szczecinek;
78-411;zachodniopomorskie;szczecinecki;Szczecinek;
78-421;zachodniopomorskie;szczecinecki;Biały Bór;
78-422;zachodniopomorskie;szczecinecki;Szczecinek;
78-423;zachodniopomorskie;szczecinecki;Szczecinek;
78-425;zachodniopomorskie;szczecinecki;Biały Bór;
78-426;zachodniopomorskie;szczecinecki;Biały Bór;
78-444;zachodniopomorskie;szczecinecki;Barwice;
78-445;zachodniopomorskie;szczecinecki;Borne Sulinowo;
78-446;zachodniopomorskie;szczecinecki;Borne Sulinowo;
78-449;zachodniopomorskie;szczecinecki;Borne Sulinowo;
78-450;zachodniopomorskie;szczecinecki;Grzmiąca;
78-451;zachodniopomorskie;szczecinecki;Grzmiąca;
78-452;zachodniopomorskie;szczecinecki;Barwice;
78-460;zachodniopomorskie;szczecinecki;Barwice;
78-461;zachodniopomorskie;szczecinecki;Barwice;
78-500;zachodniopomorskie;drawski;Drawsko Pomorskie;
78-504;zachodniopomorskie;drawski;Drawsko Pomorskie;
78-506;zachodniopomorskie;drawski;Ostrowice;
78-513;zachodniopomorskie;drawski;Drawsko Pomorskie;
78-520;zachodniopomorskie;drawski;Złocieniec;
78-523;zachodniopomorskie;drawski;Ostrowice;
78-530;zachodniopomorskie;drawski;Wierzchowo;
78-531;zachodniopomorskie;drawski;Wierzchowo;
78-540;zachodniopomorskie;drawski;Kalisz Pomorski;
78-550;zachodniopomorskie;drawski;Czaplinek;
78-551;zachodniopomorskie;drawski;Czaplinek;
78-552;zachodniopomorskie;drawski;Czaplinek;
78-553;zachodniopomorskie;drawski;Czaplinek;
78-600;zachodniopomorskie;wałecki;Wałcz;
78-607;zachodniopomorskie;wałecki;Wałcz;
78-609;zachodniopomorskie;wałecki;Wałcz;
78-611;zachodniopomorskie;wałecki;Wałcz;
78-627;zachodniopomorskie;wałecki;Wałcz;
78-630;zachodniopomorskie;wałecki;Człopa;
78-640;zachodniopomorskie;wałecki;Tuczno;
78-641;zachodniopomorskie;wałecki;Tuczno;
78-642;zachodniopomorskie;wałecki;Wałcz;
78-650;zachodniopomorskie;wałecki;Mirosławiec;
78-652;zachodniopomorskie;wałecki;Mirosławiec;
80-001;pomorskie;Gdańsk;Gdańsk;całe miasto jako 1 kształt
80-209;pomorskie;kartuski;Żukowo;
80-297;pomorskie;kartuski;Żukowo;
81-000;pomorskie;Gdynia;Gdynia;całe miasto jako 1 kształt
81-198;pomorskie;pucki;Kosakowo;
81-701;pomorskie;Sopot;Sopot;całe miasto jako 1 kształt
82-100;pomorskie;nowodworski;Nowy Dwór Gdański;
82-103;pomorskie;nowodworski;Stegna;
82-110;pomorskie;nowodworski;Sztutowo;
82-112;pomorskie;nowodworski;Ostaszewo;
82-120;pomorskie;nowodworski;Krynica Morska;
82-200;pomorskie;malborski;Malbork;
82-213;pomorskie;malborski;Miłoradz;
82-220;pomorskie;malborski;Stare Pole;
82-224;pomorskie;malborski;Lichnowy;
82-230;pomorskie;malborski;Nowy Staw;
82-300;warmińsko-mazurskie;elbląski;Elbląg;
82-316;warmińsko-mazurskie;elbląski;Milejewo;
82-325;warmińsko-mazurskie;elbląski;Markusy;
82-335;warmińsko-mazurskie;elbląski;Gronowo Elbląskie;
82-340;warmińsko-mazurskie;elbląski;Tolkmicko;
82-400;pomorskie;sztumski;Sztum;
82-410;pomorskie;sztumski;Stary Targ;
82-420;pomorskie;kwidzyński;Ryjewo;
82-433;pomorskie;sztumski;Mikołajki Pomorskie;
82-440;pomorskie;sztumski;Dzierzgoń;
82-450;pomorskie;sztumski;Stary Dzierzgoń;
82-500;pomorskie;kwidzyński;Kwidzyn;
82-520;pomorskie;kwidzyński;Gardeja;
82-522;pomorskie;kwidzyński;Sadlinki;
82-550;pomorskie;kwidzyński;Prabuty;
83-000;pomorskie;gdański;Pruszcz Gdański;
83-010;pomorskie;gdański;Pruszcz Gdański;
83-011;pomorskie;gdański;Pruszcz Gdański;
83-020;pomorskie;gdański;Cedry Wielkie;
83-021;pomorskie;gdański;Pruszcz Gdański;
83-022;pomorskie;gdański;Suchy Dąb;
83-031;pomorskie;gdański;Pruszcz Gdański;
83-032;pomorskie;gdański;Pszczółki;
83-033;pomorskie;gdański;Trąbki Wielkie;
83-034;pomorskie;gdański;Trąbki Wielkie;
83-035;pomorskie;gdański;Trąbki Wielkie;
83-041;pomorskie;gdański;Trąbki Wielkie;
83-042;pomorskie;gdański;Trąbki Wielkie;
83-047;pomorskie;gdański;Przywidz;
83-050;pomorskie;gdański;Kolbudy;
83-110;pomorskie;tczewski;Tczew;
83-111;pomorskie;tczewski;Tczew;
83-112;pomorskie;tczewski;Tczew;
83-113;pomorskie;tczewski;Tczew;
83-115;pomorskie;tczewski;Tczew;
83-120;pomorskie;tczewski;Subkowy;
83-121;pomorskie;tczewski;Pelplin;
83-122;pomorskie;tczewski;Gniew;
83-123;pomorskie;tczewski;Gniew;
83-130;pomorskie;tczewski;Pelplin;
83-132;pomorskie;tczewski;Morzeszczyn;
83-135;pomorskie;tczewski;Gniew;
83-136;pomorskie;tczewski;Gniew;
83-140;pomorskie;tczewski;Gniew;
83-200;pomorskie;starogardzki;Starogard Gdański;
83-206;pomorskie;starogardzki;Zblewo;
83-207;pomorskie;starogardzki;Starogard Gdański;
83-208;pomorskie;starogardzki;Lubichowo;
83-209;pomorskie;starogardzki;Skarszewy;
83-210;pomorskie;starogardzki;Zblewo;
83-211;pomorskie;starogardzki;Starogard Gdański;
83-212;pomorskie;starogardzki;Bobowo;
83-213;pomorskie;starogardzki;Skórcz;
83-220;pomorskie;starogardzki;Skórcz;
83-221;pomorskie;starogardzki;Osiek;
83-224;pomorskie;starogardzki;Zblewo;
83-225;pomorskie;starogardzki;Skórcz;
83-226;pomorskie;starogardzki;Smętowo Graniczne;
83-230;pomorskie;starogardzki;Smętowo Graniczne;
83-236;pomorskie;starogardzki;Skarszewy;
83-240;pomorskie;starogardzki;Lubichowo;
83-242;pomorskie;starogardzki;Osieczna;
83-243;kujawsko-pomorskie;tucholski;Śliwice;
83-250;pomorskie;starogardzki;Skarszewy;
83-251;pomorskie;starogardzki;Zblewo;
83-260;pomorskie;starogardzki;Kaliska;
83-261;pomorskie;starogardzki;Kaliska;
83-262;pomorskie;starogardzki;Czarna Woda;
83-300;pomorskie;kartuski;Kartuzy;
83-304;pomorskie;kartuski;Przodkowo;
83-305;pomorskie;kartuski;Przodkowo;
83-307;pomorskie;kartuski;Kartuzy;
83-311;pomorskie;kartuski;Somonino;
83-312;pomorskie;kartuski;Somonino;
83-314;pomorskie;kartuski;Somonino;
83-315;pomorskie;kartuski;Stężyca;
83-316;pomorskie;kartuski;Stężyca;
83-320;pomorskie;kartuski;Sulęczyno;
83-321;pomorskie;kartuski;Sulęczyno;
83-322;pomorskie;kartuski;Stężyca;
83-323;pomorskie;kartuski;Stężyca;
83-324;pomorskie;kartuski;Kartuzy;
83-328;pomorskie;kartuski;Kartuzy;
83-329;pomorskie;kartuski;Kartuzy;
83-330;pomorskie;kartuski;Żukowo;
83-331;pomorskie;kartuski;Żukowo;
83-332;pomorskie;kartuski;Kartuzy;
83-333;pomorskie;kartuski;Chmielno;
83-334;pomorskie;kartuski;Sierakowice;
83-335;pomorskie;kartuski;Chmielno;
83-340;pomorskie;kartuski;Sierakowice;
83-341;pomorskie;kartuski;Sierakowice;
83-342;pomorskie;kartuski;Sierakowice;
83-400;pomorskie;kościerski;Kościerzyna;
83-403;pomorskie;kościerski;Nowa Karczma;
83-404;pomorskie;kościerski;Nowa Karczma;
83-405;pomorskie;kościerski;Stara Kiszewa;
83-406;pomorskie;kościerski;Kościerzyna;
83-407;pomorskie;kościerski;Kościerzyna;
83-412;pomorskie;kościerski;Liniewo;
83-420;pomorskie;kościerski;Liniewo;
83-421;pomorskie;kościerski;Liniewo;
83-422;pomorskie;kościerski;Nowa Karczma;
83-423;pomorskie;kościerski;Kościerzyna;
83-424;pomorskie;kościerski;Lipusz;
83-425;pomorskie;kościerski;Dziemiany;
83-430;pomorskie;kościerski;Stara Kiszewa;
83-431;pomorskie;kościerski;Kościerzyna;
83-432;pomorskie;kościerski;Stara Kiszewa;
83-433;pomorskie;kościerski;Stara Kiszewa;
83-440;pomorskie;kościerski;Karsin;
83-441;pomorskie;kościerski;Karsin;
83-442;pomorskie;kościerski;Karsin;
84-100;pomorskie;pucki;Puck;
84-103;pomorskie;pucki;Puck;
84-104;pomorskie;pucki;Władysławowo;
84-105;pomorskie;pucki;Krokowa;
84-106;pomorskie;pucki;Puck;
84-107;pomorskie;pucki;Puck;
84-110;pomorskie;pucki;Krokowa;
84-113;pomorskie;pucki;Krokowa;
84-120;pomorskie;pucki;Władysławowo;
84-122;pomorskie;pucki;Puck;
84-123;pomorskie;pucki;Puck;
84-130;pomorskie;pucki;Jastarnia;
84-140;pomorskie;pucki;Jastarnia;
84-141;pomorskie;pucki;Jastarnia;
84-150;pomorskie;pucki;Hel;
84-200;pomorskie;wejherowski;Wejherowo;
84-206;pomorskie;wejherowski;Wejherowo;
84-207;pomorskie;wejherowski;Szemud;
84-208;pomorskie;wejherowski;Szemud;
84-210;pomorskie;wejherowski;Choczewo;
84-213;pomorskie;wejherowski;Łęczyce;
84-214;pomorskie;wejherowski;Łęczyce;
84-215;pomorskie;wejherowski;Wejherowo;
84-217;pomorskie;wejherowski;Szemud;
84-218;pomorskie;wejherowski;Łęczyce;
84-220;pomorskie;wejherowski;Łęczyce;
84-222;pomorskie;wejherowski;Linia;
84-223;pomorskie;wejherowski;Linia;
84-230;pomorskie;wejherowski;Rumia;
84-239;pomorskie;wejherowski;Wejherowo;
84-240;pomorskie;wejherowski;Reda;
84-241;pomorskie;wejherowski;Wejherowo;
84-242;pomorskie;wejherowski;Luzino;
84-250;pomorskie;wejherowski;Gniewino;
84-251;pomorskie;wejherowski;Gniewino;
84-252;pomorskie;wejherowski;Wejherowo;
84-300;pomorskie;lęborski;Lębork;
84-311;pomorskie;lęborski;Cewice;
84-312;pomorskie;lęborski;Cewice;
84-313;pomorskie;lęborski;Cewice;
84-315;pomorskie;lęborski;Cewice;
84-342;pomorskie;lęborski;Nowa Wieś Lęborska;
84-350;pomorskie;lęborski;Nowa Wieś Lęborska;
84-351;pomorskie;lęborski;Nowa Wieś Lęborska;
84-352;pomorskie;lęborski;Wicko;
84-353;pomorskie;lęborski;Nowa Wieś Lęborska;
84-360;pomorskie;lęborski;Łeba;
85-001;kujawsko-pomorskie;Bydgoszcz;Bydgoszcz;całe miasto jako 1 kształt
86-005;kujawsko-pomorskie;bydgoski;Białe Błota;
86-010;kujawsko-pomorskie;bydgoski;Koronowo;
86-013;kujawsko-pomorskie;bydgoski;Koronowo;
86-014;kujawsko-pomorskie;bydgoski;Sicienko;
86-017;kujawsko-pomorskie;bydgoski;Koronowo;
86-020;kujawsko-pomorskie;bydgoski;Dobrcz;
86-021;kujawsko-pomorskie;bydgoski;Osielsko;
86-022;kujawsko-pomorskie;bydgoski;Dobrcz;
86-031;kujawsko-pomorskie;bydgoski;Osielsko;
86-032;kujawsko-pomorskie;bydgoski;Osielsko;
86-050;kujawsko-pomorskie;bydgoski;Solec Kujawski;
86-060;kujawsko-pomorskie;bydgoski;Nowa Wieś Wielka;
86-061;kujawsko-pomorskie;bydgoski;Nowa Wieś Wielka;
86-065;kujawsko-pomorskie;bydgoski;Białe Błota;
86-070;kujawsko-pomorskie;bydgoski;Dąbrowa Chełmińska;
86-100;kujawsko-pomorskie;świecki;Świecie;
86-105;kujawsko-pomorskie;świecki;Świecie;
86-111;kujawsko-pomorskie;świecki;Świecie;
86-120;kujawsko-pomorskie;świecki;Pruszcz;
86-122;kujawsko-pomorskie;świecki;Bukowiec;
86-131;kujawsko-pomorskie;świecki;Jeżewo;
86-134;kujawsko-pomorskie;świecki;Dragacz;
86-140;kujawsko-pomorskie;świecki;Drzycim;
86-141;kujawsko-pomorskie;świecki;Lniano;
86-150;kujawsko-pomorskie;świecki;Osie;
86-160;kujawsko-pomorskie;świecki;Warlubie;
86-170;kujawsko-pomorskie;świecki;Nowe;
86-182;kujawsko-pomorskie;świecki;Świekatowo;
86-200;kujawsko-pomorskie;chełmiński;Chełmno;
86-212;kujawsko-pomorskie;chełmiński;Stolno;
86-221;kujawsko-pomorskie;chełmiński;Papowo Biskupie;
86-230;kujawsko-pomorskie;chełmiński;Lisewo;
86-253;kujawsko-pomorskie;chełmiński;Kijewo Królewskie;
86-260;kujawsko-pomorskie;chełmiński;Unisław;
86-300;kujawsko-pomorskie;grudziądzki;Grudziądz;
86-302;kujawsko-pomorskie;grudziądzki;Grudziądz;
86-318;kujawsko-pomorskie;grudziądzki;Rogóźno;
86-320;kujawsko-pomorskie;grudziądzki;Łasin;
86-330;kujawsko-pomorskie;grudziądzki;Gruta;
86-341;kujawsko-pomorskie;grudziądzki;Świecie nad Osą;
86-342;kujawsko-pomorskie;grudziądzki;Świecie nad Osą;
87-100;kujawsko-pomorskie;Toruń;Toruń;
87-103;kujawsko-pomorskie;Toruń;Toruń;
87-123;kujawsko-pomorskie;toruński;Obrowo;
87-125;kujawsko-pomorskie;toruński;Obrowo;
87-126;kujawsko-pomorskie;toruński;Obrowo;
87-133;kujawsko-pomorskie;toruński;Zławieś Wielka;
87-134;kujawsko-pomorskie;toruński;Zławieś Wielka;
87-140;kujawsko-pomorskie;toruński;Chełmża;
87-148;kujawsko-pomorskie;toruński;Łysomice;
87-152;kujawsko-pomorskie;toruński;Łubianka;
87-162;kujawsko-pomorskie;toruński;Lubicz;
87-165;kujawsko-pomorskie;toruński;Wielka Nieszawka;
